Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,4,Afghanistan,AFG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,52481532,,52481532,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,10,Antarctica,ATA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1544646,,1544646,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,8,Albania,ALB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18866069,,18866069,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,16,American Samoa,ASM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,986376,,986376,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,20,Andorra,AND,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,100335,,100335,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,12,Algeria,DZA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,306680619,,306680619,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,24,Angola,AGO,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,71594862,,71594862,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,28,Antigua and Barbuda,ATG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,18580901,,18580901,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,31,Azerbaijan,AZE,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,27264470,,27264470,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,32,Argentina,ARG,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,153071554,,153071554,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,40,Austria,AUT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,346186883,,346186883,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,44,Bahamas,BHS,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,132373641,,132373641,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,48,Bahrain,BHR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,34243283,,34243283,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,50,Bangladesh,BGD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,551287533,,551287533,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,51,Armenia,ARM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7753989,,7753989,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,52,Barbados,BRB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,50758192,,50758192,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,60,Bermuda,BMU,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,58530222,,58530222,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,64,Bhutan,BTN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,151099,,151099,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,68,Bolivia (Plurinational State of),BOL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10967902,,10967902,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,70,Bosnia Herzegovina,BIH,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3056611,,3056611,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,72,Botswana,BWA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3898321,,3898321,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,74,Bouvet Island,BVT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,7139,,7139,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,92,Br. Virgin Isds,VGB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,3338354,,3338354,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,86,Br. Indian Ocean Terr.,IOT,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1029871,,1029871,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,90,Solomon Isds,SLB,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,646096,,646096,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,84,Belize,BLZ,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,5565078,,5565078,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,96,Brunei Darussalam,BRN,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,4997905,,4997905,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,100,Bulgaria,BGR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,62312368,,62312368,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,104,Myanmar,MMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,135217,,135217,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,108,Burundi,BDI,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1073588,,1073588,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,112,Belarus,BLR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1289006,,1289006,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,120,Cameroon,CMR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,30114192,,30114192,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,116,Cambodia,KHM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6188541,,6188541,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,132,Cabo Verde,CPV,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,1274584,,1274584,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,136,Cayman Isds,CYM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,6957212,,6957212,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,140,Central African Rep.,CAF,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,877890,,877890,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,148,Chad,TCD,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,10919761,,10919761,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,144,Sri Lanka,LKA,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,293748876,,293748876,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,166,Cocos Isds,CCK,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,205220,,205220,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,162,Christmas Isds,CXR,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,241575,,241575,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,520148328,,520148328,0
H3,2009,2009,2009,5,0,0,X,124,Canada,CAN,174,Comoros,COM,0,World,W00,C00,All CPCs,0,All MOTs,TOTAL,All Commodities,-1,N/A,,-1,N/A,,,,2771698,,2771698,0
